node_label;node_id;PPCounter;log10(PP*)
82;1;0;-2.961100685735625
83;2;0;-3.131173279701515
84;3;0;-3.065989695607144
85;6;0;-3.450056644334404
86;7;0;-3.214528196245449
87;11;0;-2.9583883151840085
88;12;0;-2.765595490063386
89;15;0;-3.1827220068344086
90;16;0;-2.7145693544628697
91;19;0;-5.298196947629817
92;20;0;-5.500520475165395
93;21;0;-3.209509030120439
94;24;0;-5.91185225989098
95;25;0;-3.371747697894781
98;30;0;-4.606894378231446
100;34;0;-4.7020325312159095
102;39;0;-3.989019975194909
104;43;0;-4.793264743285142
106;49;0;-5.2161445430780615
107;50;0;-2.7524626287111786
108;53;0;-5.216060253533381
109;54;0;-2.7568506944866824
110;57;0;-5.320907753967183
111;58;0;-5.306621177758096
112;59;0;-2.8997405363700857
113;62;0;-5.389631803782059
114;63;0;-2.925696384754566
115;66;0;-5.612148028766356
116;67;0;-5.550465348750579
117;68;0;-3.932330281987886
118;71;0;-5.841184153656668
119;72;0;-3.9216184588086476
120;76;0;-4.55111312444905
121;77;0;-3.323033793135181
122;80;0;-4.890280681045286
123;81;0;-3.5805005426753467
124;85;0;-4.033238763301501
125;86;0;-2.797135377627093
126;89;0;-4.2580539851746
127;90;0;-2.996748129563806
130;96;0;-3.866595520632051
132;100;0;-3.94381875372749
138;112;0;-4.3156874980956275
140;116;0;-4.657522677590769
82;1;1;-3.2657972470397394
83;2;1;-3.5723328814407846
84;3;1;-3.2840565606203636
117;68;1;-4.951655475006652
85;6;1;-3.3370007443492233
86;7;1;-3.1734134379520675
119;72;1;-5.094686471312099
87;11;1;-3.3052806980672034
88;12;1;-2.901644818417597
120;76;1;-5.182188935857687
121;77;1;-3.6830242650415452
89;15;1;-3.648191551532704
90;16;1;-2.9009517635668205
122;80;1;-5.095140555966496
123;81;1;-3.589022040826632
93;21;1;-3.703199940395123
124;85;1;-4.915925577732102
125;86;1;-3.2174463711710337
95;25;1;-3.892050478992638
126;89;1;-5.4407781784999045
127;90;1;-3.739194875586868
98;30;1;-5.385956550544655
130;96;1;-5.393131888215115
100;34;1;-5.459456993797682
132;100;1;-5.487338002783953
102;39;1;-4.408903239888872
104;43;1;-5.014754294493224
138;112;1;-5.954332526278146
107;50;1;-3.0656058340235686
109;54;1;-3.090691288203989
112;59;1;-3.3682115322495654
114;63;1;-3.429766743514982
82;1;2;-3.812563779301608
83;2;2;-3.9150459918164455
84;3;2;-3.754240823025715
117;68;2;-5.650400940878392
85;6;2;-3.4779102572315015
86;7;2;-3.356482506184212
119;72;2;-5.9238509501282754
87;11;2;-3.820491399768671
88;12;2;-3.523507869301328
120;76;2;-5.92855502849764
121;77;2;-4.403528767040966
89;15;2;-4.09299758273142
90;16;2;-3.4983817754367035
123;81;2;-4.538897496659141
93;21;2;-4.100126059214704
124;85;2;-5.490466963383672
125;86;2;-3.8001229672237593
95;25;2;-4.225185209046045
127;90;2;-4.34506464414729
98;30;2;-5.51729920150809
130;96;2;-5.899098888015145
100;34;2;-5.5671205518753615
102;39;2;-4.629155253944429
104;43;2;-5.164049145164024
107;50;2;-3.621640811162076
109;54;2;-3.65412186122015
112;59;2;-3.929126642558329
114;63;2;-4.001392722761394
82;1;3;-3.8370529334588483
83;2;3;-4.2345912302513025
84;3;3;-3.978402419801432
117;68;3;-5.519189298849614
85;6;3;-4.510802804497639
86;7;3;-4.082152642107235
119;72;3;-5.763925990866847
87;11;3;-3.809321248098811
88;12;3;-3.4808189790003503
120;76;3;-5.738803270522029
121;77;3;-4.235902547143431
89;15;3;-4.054328549397213
90;16;3;-3.408464302107624
123;81;3;-4.3636497819423345
93;21;3;-3.942934066122416
125;86;3;-3.871563992975549
95;25;3;-4.058669844154824
127;90;3;-4.541046542126103
98;30;3;-5.337741770555271
