"Query"	"NodeId"	"ExtNodeId"	"Loc_start"
"GLKT0ZE01BL5ZY"	"195"	"753"	"620"
"GLKT0ZE01EAM3X"	"195"	"753"	"618"
"GLKT0ZE01A8ZID"	"195"	"753"	"610"
"GLKT0ZE01CWRFA"	"195"	"753"	"638"
"GLKT0ZE01EEQ2P"	"195"	"753"	"624"
"GLKT0ZE01BV36F"	"195"	"753"	"641"
"GLKT0ZE01C85M7"	"195"	"753"	"618"
"GLKT0ZE01C8DAG"	"195"	"753"	"630"
"GLKT0ZE01BXK80"	"195"	"753"	"624"
"GLKT0ZE01C0J61"	"195"	"753"	"618"
"GLKT0ZE01DYM25"	"195"	"753"	"620"
"GLKT0ZE01CWDVL"	"195"	"753"	"661"
"GLKT0ZE01DUE68"	"195"	"753"	"620"
"GLKT0ZE01AVDU6"	"195"	"753"	"601"
"GLKT0ZE01ARM1Q"	"195"	"753"	"598"
"GLKT0ZE01DMK2J"	"195"	"753"	"601"
"GLKT0ZE01B5M89"	"195"	"753"	"638"
"GLKT0ZE01DLR8P"	"195"	"753"	"620"
"GLKT0ZE01EUM8N"	"195"	"753"	"601"
"GLKT0ZE01D8AZ9"	"195"	"753"	"619"
"GLKT0ZE01EMORI"	"195"	"753"	"620"
"GLKT0ZE01CEKTP"	"195"	"753"	"624"
"GLKT0ZE01DBDC7"	"195"	"753"	"601"
"GLKT0ZE01AGFYB"	"195"	"753"	"601"
"GLKT0ZE01BDKNS"	"195"	"753"	"630"
"GLKT0ZE01BE31Z"	"195"	"753"	"624"
"GLKT0ZE01CILB4"	"195"	"753"	"624"
"GLKT0ZE01DM5E4"	"195"	"753"	"601"
"GLKT0ZE01DMTWJ"	"195"	"753"	"624"
"GLKT0ZE01AF43E"	"195"	"753"	"601"
"GLKT0ZE01DD4HI"	"195"	"753"	"624"
"GLKT0ZE01ANEOT"	"195"	"753"	"624"
"GLKT0ZE01DSC80"	"195"	"753"	"630"
"GLKT0ZE01DHAW8"	"195"	"753"	"624"
"GLKT0ZE01DOK2Q"	"195"	"753"	"624"
"GLKT0ZE01EGI05"	"195"	"753"	"643"
"GLKT0ZE01BABID"	"195"	"753"	"618"
"GLKT0ZE01C0OLW"	"195"	"753"	"624"
"GLKT0ZE01AUBRD"	"195"	"753"	"624"
"GLKT0ZE01A4K8I"	"195"	"753"	"620"
"GLKT0ZE01D76S9"	"195"	"753"	"620"
"GLKT0ZE01EK7G0"	"195"	"753"	"611"
"GLKT0ZE01BYE99"	"195"	"753"	"635"
"GLKT0ZE01B59PD"	"195"	"753"	"643"
"GLKT0ZE01ANZGJ"	"195"	"753"	"624"
"GLKT0ZE01DF2DI"	"195"	"753"	"661"
"GLKT0ZE01ELHHI"	"195"	"753"	"601"
"GLKT0ZE01B15J7"	"195"	"753"	"641"
"GLKT0ZE01DNL59"	"195"	"753"	"601"
"GLKT0ZE01EQ1KV"	"195"	"753"	"661"
"GLKT0ZE01BEYG6"	"195"	"753"	"611"
"GLKT0ZE01CQ2BU"	"195"	"753"	"607"
"GLKT0ZE01CWL7N"	"195"	"753"	"625"
"GLKT0ZE01AII3D"	"195"	"753"	"618"
"GLKT0ZE01DV7CV"	"195"	"753"	"620"
"GLKT0ZE01DHQ70"	"195"	"753"	"601"
"GLKT0ZE01AF9T6"	"195"	"753"	"601"
"GLKT0ZE01DFZG0"	"195"	"753"	"630"
"GLKT0ZE01C5O9S"	"195"	"753"	"630"
"GLKT0ZE01CSPEH"	"195"	"753"	"624"
"GLKT0ZE01C0CXZ"	"195"	"753"	"630"
"GLKT0ZE01AU1KG"	"195"	"753"	"612"
"GLKT0ZE01BGHWE"	"195"	"753"	"647"
"GLKT0ZE01CI9CF"	"195"	"753"	"601"
"GLKT0ZE01CSSCS"	"195"	"753"	"631"
"GLKT0ZE01CNDBZ"	"195"	"753"	"624"
"GLKT0ZE01CY8T4"	"195"	"753"	"611"
"GLKT0ZE01AWSTW"	"195"	"753"	"624"
"GLKT0ZE01DAH5O"	"195"	"753"	"624"
"GLKT0ZE01CERBI"	"195"	"753"	"624"
"GLKT0ZE01C1YGP"	"195"	"753"	"618"
"GLKT0ZE01ASRDP"	"195"	"753"	"624"
"GLKT0ZE01D5NTT"	"195"	"753"	"620"
"GLKT0ZE01CIRCJ"	"195"	"753"	"624"
"GLKT0ZE01BXNFO"	"195"	"753"	"624"
"GLKT0ZE01DYZ2J"	"195"	"753"	"601"
"GLKT0ZE01AMNDQ"	"195"	"753"	"620"
"GLKT0ZE01EIO8C"	"195"	"753"	"638"
"GLKT0ZE01BMGLE"	"195"	"753"	"624"
"GLKT0ZE01DLFJM"	"195"	"753"	"601"
"GLKT0ZE01DA56Z"	"195"	"753"	"620"
"GLKT0ZE01CKBV6"	"195"	"753"	"620"
"GLKT0ZE01BTXR2"	"394"	"853"	"620"
"GLKT0ZE01ERLF9"	"195"	"753"	"624"
"GLKT0ZE01APV7D"	"195"	"753"	"647"
"GLKT0ZE01C70KU"	"195"	"753"	"624"
"GLKT0ZE01BKRMJ"	"195"	"753"	"646"
"GLKT0ZE01A7SL1"	"195"	"753"	"624"
"GLKT0ZE01BX0YI"	"195"	"753"	"620"
"GLKT0ZE01EO150"	"195"	"753"	"601"
"GLKT0ZE01EFH5J"	"195"	"753"	"624"
"GLKT0ZE01BW4UV"	"195"	"753"	"601"
"GLKT0ZE01DBQOO"	"195"	"753"	"624"
"GLKT0ZE01EIRIG"	"195"	"753"	"601"
"GLKT0ZE01ARJLJ"	"195"	"753"	"624"
"GLKT0ZE01ED213"	"195"	"753"	"624"
"GLKT0ZE01CBAI6"	"195"	"753"	"620"
"GLKT0ZE01AZVQ1"	"195"	"753"	"601"
"GLKT0ZE01BMQRU"	"195"	"753"	"601"
"GLKT0ZE01AH2R9"	"195"	"753"	"624"
"GLKT0ZE01ASTQL"	"195"	"753"	"624"
"GLKT0ZE01BZT06"	"195"	"753"	"661"
"GLKT0ZE01AMILP"	"195"	"753"	"611"
"GLKT0ZE01DUWGJ"	"195"	"753"	"625"
"GLKT0ZE01DK4G4"	"195"	"753"	"630"
"GLKT0ZE01ATKDY"	"195"	"753"	"624"
"GLKT0ZE01BDTS6"	"195"	"753"	"620"
"GLKT0ZE01ENMHU"	"195"	"753"	"601"
"GLKT0ZE01CUUXA"	"195"	"753"	"646"
"GLKT0ZE01C8WMZ"	"195"	"753"	"601"
"GLKT0ZE01CR064"	"195"	"753"	"624"
"GLKT0ZE01CNF7R"	"195"	"753"	"620"
"GLKT0ZE01DXDG5"	"195"	"753"	"624"
"GLKT0ZE01D7QFN"	"195"	"753"	"624"
"GLKT0ZE01DF3CU"	"195"	"753"	"620"
"GLKT0ZE01CXBQ5"	"195"	"753"	"624"
"GLKT0ZE01C7L9D"	"195"	"753"	"624"
"GLKT0ZE01ATBL2"	"195"	"753"	"624"
"GLKT0ZE01DY40N"	"195"	"753"	"625"
"GLKT0ZE01AUL54"	"195"	"753"	"601"
"GLKT0ZE01B8JSY"	"195"	"753"	"634"
"GLKT0ZE01BBWF7"	"195"	"753"	"630"
"GLKT0ZE01EROUM"	"195"	"753"	"601"
"GLKT0ZE01E083P"	"195"	"753"	"601"
"GLKT0ZE01AEABN"	"195"	"753"	"601"
"GLKT0ZE01C9UIZ"	"195"	"753"	"624"
"GLKT0ZE01BE9C7"	"195"	"753"	"647"
"GLKT0ZE01CD4BJ"	"195"	"753"	"601"
"GLKT0ZE01BLD57"	"195"	"753"	"601"
"GLKT0ZE01CMUQH"	"195"	"753"	"630"
"GLKT0ZE01CEMM1"	"195"	"753"	"630"
"GLKT0ZE01AP5QP"	"195"	"753"	"646"
"GLKT0ZE01CSXPD"	"195"	"753"	"612"
"GLKT0ZE01AOIMX"	"195"	"753"	"601"
"GLKT0ZE01DDAUY"	"195"	"753"	"630"
"GLKT0ZE01AJDGU"	"195"	"753"	"630"
"GLKT0ZE01BSU90"	"195"	"753"	"624"
"GLKT0ZE01DJTIO"	"195"	"753"	"624"
"GLKT0ZE01DE9OT"	"195"	"753"	"601"
"GLKT0ZE01D9D8I"	"195"	"753"	"601"
"GLKT0ZE01CWDZ3"	"195"	"753"	"601"
"GLKT0ZE01DZFDT"	"195"	"753"	"635"
"GLKT0ZE01DNYI4"	"195"	"753"	"601"
"GLKT0ZE01AW7TD"	"195"	"753"	"638"
"GLKT0ZE01CT947"	"195"	"753"	"620"
"GLKT0ZE01B3CLI"	"195"	"753"	"624"
"GLKT0ZE01DCPYC"	"195"	"753"	"620"
"GLKT0ZE01A4HPF"	"195"	"753"	"630"
"GLKT0ZE01ERRTM"	"195"	"753"	"624"
"GLKT0ZE01D9NJH"	"195"	"753"	"624"
"GLKT0ZE01DZFX5"	"195"	"753"	"620"
"GLKT0ZE01DYVEV"	"195"	"753"	"624"
"GLKT0ZE01BMFW4"	"195"	"753"	"624"
"GLKT0ZE01CYQ1E"	"195"	"753"	"624"
"GLKT0ZE01EKZ4Z"	"195"	"753"	"630"
"GLKT0ZE01B3HDX"	"195"	"753"	"620"
"GLKT0ZE01EGJ4R"	"195"	"753"	"620"
"GLKT0ZE01D3LN9"	"195"	"753"	"646"
"GLKT0ZE01C939Q"	"195"	"753"	"624"
"GLKT0ZE01C59NP"	"195"	"753"	"661"
"GLKT0ZE01DIPM3"	"195"	"753"	"598"
"GLKT0ZE01CVOSB"	"195"	"753"	"624"
"GLKT0ZE01DS2YL"	"195"	"753"	"601"
"GLKT0ZE01DXVCC"	"195"	"753"	"620"
"GLKT0ZE01CZEX3"	"195"	"753"	"661"
"GLKT0ZE01CXMQL"	"195"	"753"	"610"
"GLKT0ZE01A3SSL"	"195"	"753"	"620"
"GLKT0ZE01DYUY5"	"195"	"753"	"601"
