"diagsum_position"	"reference_align_site"	"nodeid=0"	"nodeid=196"	"nodeid=396"	"nodeid=594"	"nodeid=793"	"nodeid=991"	"nodeid=1192"	"nodeid=1393"	"nodeid=1594"	"nodeid=1792"	"nodeid=1995"	"nodeid=2195"	"nodeid=2394"	"nodeid=2595"	"nodeid=2791"	"nodeid=2996"	"nodeid=3191"	"nodeid=3386"	"nodeid=3590"	"nodeid=3790"	"nodeid=3994"	"nodeid=4189"	"nodeid=4394"	"nodeid=4595"	"nodeid=4797"
"0"	"-138"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"
"1"	"-137"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"
"2"	"-136"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"
"3"	"-135"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"
"4"	"-134"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"
"5"	"-133"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"
"6"	"-132"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"
"7"	"-131"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"	"-1.0"
"8"	"-130"	"1.185725129211745"	"1.153665459498103"	"1.1589343101556628"	"1.1710997928584796"	"1.1317899543688292"	"1.12582765191969"	"1.1290991307338418"	"1.1945718257265308"	"1.1122395437433985"	"1.1440491690700036"	"1.1305388043772924"	"1.1922559639377937"	"1.2071800948439404"	"1.1740043039866004"	"1.1227548768498774"	"1.1835036551142826"	"1.1932155491789809"	"1.1271982192235328"	"1.1779504126935292"	"1.2033442159382328"	"1.187547988883524"	"1.2001726069993452"	"1.2013833330071249"	"1.0790309125176836"	"1.198903327331028"
"9"	"-129"	"0.9655787667475809"	"0.9202232351305112"	"0.9416581675478957"	"0.8090590424463651"	"0.8877578165948973"	"0.8727113273271359"	"0.8786808041042667"	"0.9533604302358673"	"0.9170133140340876"	"0.9118779419713039"	"0.9264087185444976"	"0.9156470597888962"	"0.9487216066173085"	"0.9086995846406022"	"0.965167260762205"	"0.9237252564616727"	"0.9722338921870893"	"0.9545211183528279"	"0.9421710591547808"	"0.9311263177523423"	"0.9421476751172074"	"0.9290874792382563"	"0.9127531540516575"	"0.9586042999419457"	"0.9017190738085851"
"10"	"-128"	"0.9995124466089861"	"1.0111980602064474"	"0.9943261917627856"	"0.9310676850091949"	"0.9698524787580723"	"0.9586324653914027"	"0.9532782804662452"	"0.9795030839507458"	"0.9693031163592681"	"1.0138144662952189"	"0.9738831613146756"	"0.9939739277577793"	"1.0269343097621315"	"1.0003525513496518"	"1.0085757438067344"	"0.9982203012710344"	"1.018036863210191"	"1.0343967267831442"	"1.0523851650574545"	"1.0217010191703952"	"1.0303285386418606"	"1.0440360723676199"	"1.0055623821413797"	"0.9755388999919534"	"1.0042122736817254"
"11"	"-127"	"0.9034772466857398"	"0.8875830698388281"	"0.8625305554593702"	"0.9174965226088747"	"0.9317625486321653"	"0.9233426845842642"	"0.9195507632648108"	"0.9487413410918132"	"0.9205854164705083"	"0.8937933870126286"	"0.9469184215650011"	"0.9503584462758009"	"0.8969023022080532"	"0.9941052239836008"	"0.9103880946121503"	"0.950911650618407"	"0.969945768533817"	"0.9219870414865077"	"1.0137005868303508"	"0.9100069191174869"	"0.8811874302174965"	"0.9371777170687279"	"0.9738411263532555"	"0.9445505461085266"	"0.9275650226561648"
