"diagsum_position"	"reference_align_site"	"nodeid=0"	"nodeid=195"	"nodeid=394"	"nodeid=591"	"nodeid=789"	"nodeid=994"
"0"	"-138"	"-219.9290388617053"	"-216.7291032797047"	"-223.02066951326958"	"-208.61724062750403"	"-232.0"	"-222.55776847221054"
"1"	"-137"	"-222.63894202228818"	"-214.72511216472293"	"-229.35155576407388"	"-212.02251582347347"	"-230.59813047181993"	"-224.58272537161454"
"2"	"-136"	"-214.48085756003144"	"-198.7977902437764"	"-218.08644705319372"	"-199.56541628760084"	"-229.76102468504294"	"-215.67785424222416"
"3"	"-135"	"-214.25572197207026"	"-202.85501699559435"	"-220.78810970456715"	"-196.15010286021464"	"-224.0000055719521"	"-215.2621720073717"
"4"	"-134"	"-218.14729337929515"	"-202.2930682506846"	"-221.7787843880534"	"-197.97222794110874"	"-229.78202509379923"	"-220.9601849875816"
"5"	"-133"	"-216.97576374522268"	"-202.01792014340433"	"-218.51297447150736"	"-197.71425283451498"	"-232.0"	"-221.93431423002792"
"6"	"-132"	"-218.13091370513348"	"-200.8096653470817"	"-220.72375488728812"	"-201.37896951561385"	"-226.86030490745614"	"-219.26203724037921"
"7"	"-131"	"-220.15481402056486"	"-208.47742322436807"	"-222.91587741343542"	"-202.4014739512162"	"-230.14506690815298"	"-222.30627775272268"
"8"	"-130"	"-216.83278016455435"	"-208.00283638840494"	"-219.40610473119932"	"-204.6926121973434"	"-232.0"	"-220.42208238714719"
"9"	"-129"	"-216.96819892369277"	"-208.69029792294782"	"-215.16968501721917"	"-205.0269514486987"	"-227.24613814978838"	"-225.3550747096563"
"10"	"-128"	"-210.9834538437696"	"-203.67681396565126"	"-215.1847865707333"	"-204.32320480543012"	"-230.64454316328585"	"-221.0530148642127"
"11"	"-127"	"-210.87432102845105"	"-200.28305642969158"	"-214.56760395949382"	"-194.75397787393968"	"-225.71438352729325"	"-220.2712571130725"
"12"	"-126"	"-206.14765424253665"	"-198.6513399143481"	"-210.89195636647887"	"-198.39978210180678"	"-229.46382955989137"	"-220.2510548680953"
"13"	"-125"	"-212.41857824265995"	"-199.104255694691"	"-218.72553794990378"	"-194.18822211810965"	"-227.90962102237606"	"-220.07350788165755"
"14"	"-124"	"-208.87384885172227"	"-199.19261853251692"	"-211.44568081301045"	"-191.9988859181603"	"-228.029097477791"	"-217.04888821243398"
"15"	"-123"	"-213.6296188734015"	"-203.44734085209893"	"-217.46563940107103"	"-200.61951501147297"	"-232.0"	"-225.80474060838313"
"16"	"-122"	"-216.5673109326055"	"-201.9939827864772"	"-219.53030075363654"	"-195.67797489311124"	"-228.92347280119063"	"-226.7908833562936"
"17"	"-121"	"-209.8248995080562"	"-207.04849503658735"	"-207.52972037542975"	"-204.8413596086117"	"-231.139246352748"	"-227.393776284193"
"18"	"-120"	"-201.53075697605402"	"-199.36637041438817"	"-212.56955774254402"	"-197.41224887057564"	"-227.84223031560833"	"-219.23903892857734"
"19"	"-119"	"-204.18604131833337"	"-190.7832734548184"	"-218.3647631879622"	"-188.6964903483261"	"-226.25068131170357"	"-221.29105916532095"
"20"	"-118"	"-195.08104680826636"	"-191.6279411865017"	"-208.33142399403877"	"-186.9756918576875"	"-226.88963050358987"	"-213.28829310971454"
"21"	"-117"	"-206.224415102496"	"-191.66177269415857"	"-219.7415884216491"	"-193.3114439907768"	"-230.23413293819416"	"-222.4870307303796"
"22"	"-116"	"-201.91418450061775"	"-192.146500631871"	"-209.83439771703817"	"-182.0014611525576"	"-227.3102681486568"	"-215.31710358097672"
"23"	"-115"	"-204.7797229160159"	"-197.64623371102758"	"-210.89395112701837"	"-197.56917235055352"	"-225.27010737971787"	"-208.9168765943305"
"24"	"-114"	"-202.30419057638628"	"-193.7699654352327"	"-205.65170536855172"	"-199.60074191384194"	"-230.77629735675288"	"-221.4696269079942"
"25"	"-113"	"-200.7015256953255"	"-189.02691632369863"	"-210.26267983805494"	"-191.96327003861128"	"-230.3907933000836"	"-220.0636632922653"
"26"	"-112"	"-200.10075107048687"	"-189.78068714166253"	"-203.25271538266983"	"-187.77670880691844"	"-226.84501567090362"	"-215.86641871211242"
"27"	"-111"	"-200.51292752227232"	"-187.93345412109338"	"-206.1783983071305"	"-186.76416591639767"	"-229.29789235289834"	"-216.42270679525106"
"28"	"-110"	"-198.97432828587935"	"-189.78590818018517"	"-214.81314150869179"	"-186.8824186268504"	"-225.5874613217007"	"-214.8064999308307"
"29"	"-109"	"-200.89153792104324"	"-192.66875247003853"	"-208.34122465344294"	"-190.79572130673742"	"-230.2333987064018"	"-211.52151002467488"
"30"	"-108"	"-198.34885370677026"	"-191.96433000454527"	"-213.9939022394312"	"-187.81117843132012"	"-230.103344354139"	"-216.11977794342113"
"31"	"-107"	"-199.35543967050538"	"-192.66090718626796"	"-203.66361762874772"	"-186.79400555836813"	"-231.32047590551457"	"-216.43486278258638"
"32"	"-106"	"-195.4219079166818"	"-190.6244946101423"	"-206.4191597657645"	"-185.76711081168756"	"-229.29096245526438"	"-218.75077524716727"
"33"	"-105"	"-198.6451741000224"	"-194.822936673057"	"-208.47632011181227"	"-189.70056489028994"	"-226.98679025388213"	"-221.64483994855044"
"34"	"-104"	"-193.74582665520217"	"-193.09023536805515"	"-203.10274917544166"	"-188.21160259535984"	"-229.60332705009884"	"-218.74878115856885"
"35"	"-103"	"-197.6741499807346"	"-186.6681293243421"	"-212.71914347407156"	"-191.68063804109337"	"-230.61657668446367"	"-219.39499213335026"
"36"	"-102"	"-197.33184857296308"	"-184.3093679318081"	"-211.93996172579895"	"-186.28358750586196"	"-229.18442401546474"	"-217.7531218218559"
"37"	"-101"	"-198.32802468776592"	"-189.13070371473495"	"-207.26655602552918"	"-189.62058337985388"	"-225.50573929936624"	"-211.98724733067667"
"38"	"-100"	"-197.39365165913222"	"-188.22390673958498"	"-200.52090769714664"	"-189.71575046677611"	"-228.11378545903526"	"-215.90498326175265"
"39"	"-99"	"-199.59767239775496"	"-190.97608626172482"	"-213.27762202389266"	"-188.55356466347806"	"-228.66261736504288"	"-217.82887120672044"
"40"	"-98"	"-200.0436631076981"	"-190.7715935993125"	"-204.3305485256677"	"-184.15160149130898"	"-226.7323541592244"	"-218.7767940209858"
"41"	"-97"	"-200.81027191456934"	"-198.88036448335592"	"-212.9171026213309"	"-193.39855746900804"	"-231.13132621730801"	"-221.62303081784424"
"42"	"-96"	"-198.00822581756407"	"-187.15553936367996"	"-203.36028570416812"	"-184.85983215921422"	"-227.05519076460266"	"-218.4784746635151"
"43"	"-95"	"-189.8917925121538"	"-190.25762261690915"	"-211.41718846877873"	"-188.1942856773732"	"-221.07054511215597"	"-211.9341450477466"
"44"	"-94"	"-193.2726005707073"	"-186.17267486248446"	"-194.05430088720797"	"-179.9370010145291"	"-231.7200149057903"	"-219.0892546575101"
"45"	"-93"	"-196.3013392118399"	"-191.4764970631129"	"-214.4789814219852"	"-191.8004012585576"	"-231.27746782780028"	"-216.14547541157694"
"46"	"-92"	"-201.05227266484005"	"-192.83386412975312"	"-207.10631805132095"	"-193.13281416405835"	"-218.2576987065415"	"-214.69555924580283"
"47"	"-91"	"-201.21534844358317"	"-192.6478094903993"	"-210.51515111843872"	"-189.14671857190277"	"-232.0"	"-220.00649392101957"
"48"	"-90"	"-203.4505560831497"	"-192.46383425621866"	"-213.16197183395522"	"-190.97528960269221"	"-231.90328732634663"	"-220.5979450155653"
"49"	"-89"	"-203.89538339634677"	"-198.48684749746053"	"-217.44769436578437"	"-197.0058088972311"	"-226.6460530838618"	"-221.35705427271768"
"50"	"-88"	"-200.85305465542277"	"-192.83218927932623"	"-215.40959185755906"	"-190.74544290246604"	"-227.73675997608876"	"-216.80054312025132"
"51"	"-87"	"-202.31537709545327"	"-186.05259274702505"	"-207.51662088292858"	"-189.65196572846875"	"-226.21038315055858"	"-220.39214198090215"
"52"	"-86"	"-200.32929947634898"	"-188.77179409079304"	"-205.3963014477851"	"-190.9999357070631"	"-226.93886863319494"	"-221.25193667531198"
"53"	"-85"	"-197.8980633510785"	"-194.87747281602125"	"-217.0530219959236"	"-189.67535098608764"	"-230.23017451414384"	"-215.65786415726092"
"54"	"-84"	"-201.4911078604564"	"-195.8045067961421"	"-219.79554453213012"	"-190.53837262036268"	"-221.55826740049957"	"-214.15412407710878"
"55"	"-83"	"-203.30200348644848"	"-193.5321057496227"	"-215.3736226121242"	"-191.77104031208677"	"-229.13334306780686"	"-218.0749779872419"
"56"	"-82"	"-204.61975128113335"	"-198.49988220493913"	"-216.61869395179997"	"-191.7436519891114"	"-223.5140590105163"	"-218.86175935071574"
"57"	"-81"	"-203.00105185899793"	"-191.99798045652875"	"-211.50395949600366"	"-190.17493992116601"	"-231.5622464860442"	"-222.65388437841702"
"58"	"-80"	"-203.99892869372374"	"-192.37421846850256"	"-212.43430129527005"	"-194.88599634681086"	"-226.94728239452584"	"-215.1835487484119"
