"diagsum_position"	"reference_align_site"	"nodeid=0"	"nodeid=195"	"nodeid=394"	"nodeid=591"	"nodeid=789"	"nodeid=994"
"0"	"-138"	"-219.9290388617053"	"-216.7291032797047"	"-223.02066951326958"	"-208.61724062750403"	"-232.0"	"-222.55776847221054"
"1"	"-137"	"-222.63894202228818"	"-214.72511216472293"	"-229.35155576407388"	"-212.02251582347347"	"-230.59813047181993"	"-224.58272537161454"
"2"	"-136"	"-214.48085756003144"	"-198.7977902437764"	"-218.08644705319372"	"-199.56541628760084"	"-229.76102468504294"	"-215.67785424222416"
"3"	"-135"	"-214.25572197207026"	"-202.85501699559435"	"-220.78810970456715"	"-196.15010286021464"	"-224.0000055719521"	"-215.2621720073717"
"4"	"-134"	"-218.14729337929515"	"-202.2930682506846"	"-221.7787843880534"	"-197.97222794110874"	"-229.78202509379923"	"-220.9601849875816"
"5"	"-133"	"-216.97576374522268"	"-202.01792014340433"	"-218.51297447150736"	"-197.71425283451498"	"-232.0"	"-221.93431423002792"
"6"	"-132"	"-218.13091370513348"	"-200.8096653470817"	"-220.72375488728812"	"-201.37896951561385"	"-226.86030490745614"	"-219.26203724037921"
"7"	"-131"	"-220.15481402056486"	"-208.47742322436807"	"-222.91587741343542"	"-202.4014739512162"	"-230.14506690815298"	"-222.30627775272268"
"8"	"-130"	"-216.83278016455435"	"-208.00283638840494"	"-219.40610473119932"	"-204.6926121973434"	"-232.0"	"-220.42208238714719"
"9"	"-129"	"-216.96819892369277"	"-208.69029792294782"	"-215.16968501721917"	"-205.0269514486987"	"-227.24613814978838"	"-225.3550747096563"
"10"	"-128"	"-210.9834538437696"	"-203.67681396565126"	"-215.1847865707333"	"-204.32320480543012"	"-230.64454316328585"	"-221.0530148642127"
"11"	"-127"	"-210.87432102845105"	"-200.28305642969158"	"-214.56760395949382"	"-194.75397787393968"	"-225.71438352729325"	"-220.2712571130725"
"12"	"-126"	"-206.14765424253665"	"-198.6513399143481"	"-210.89195636647887"	"-198.39978210180678"	"-229.46382955989137"	"-220.2510548680953"
"13"	"-125"	"-212.41857824265995"	"-199.104255694691"	"-218.72553794990378"	"-194.18822211810965"	"-227.90962102237606"	"-220.07350788165755"
"14"	"-124"	"-208.87384885172227"	"-199.19261853251692"	"-211.44568081301045"	"-191.9988859181603"	"-228.029097477791"	"-217.04888821243398"
"15"	"-123"	"-213.6296188734015"	"-203.44734085209893"	"-217.46563940107103"	"-200.61951501147297"	"-232.0"	"-225.80474060838313"
"16"	"-122"	"-216.5673109326055"	"-201.9939827864772"	"-219.53030075363654"	"-195.67797489311124"	"-228.92347280119063"	"-226.7908833562936"
"17"	"-121"	"-209.8248995080562"	"-207.04849503658735"	"-207.52972037542975"	"-204.8413596086117"	"-231.139246352748"	"-227.393776284193"
"18"	"-120"	"-201.53075697605402"	"-199.36637041438817"	"-212.56955774254402"	"-197.41224887057564"	"-227.84223031560833"	"-219.23903892857734"
"19"	"-119"	"-204.18604131833337"	"-190.7832734548184"	"-218.3647631879622"	"-188.6964903483261"	"-226.25068131170357"	"-221.29105916532095"
"20"	"-118"	"-195.08104680826636"	"-191.6279411865017"	"-208.33142399403877"	"-186.9756918576875"	"-226.88963050358987"	"-213.28829310971454"
"21"	"-117"	"-206.224415102496"	"-191.66177269415857"	"-219.7415884216491"	"-193.78059862626947"	"-230.23413293819416"	"-222.4870307303796"
"22"	"-116"	"-201.91418450061775"	"-192.146500631871"	"-209.83439771703817"	"-182.86474049103552"	"-227.3102681486568"	"-215.31710358097672"
"23"	"-115"	"-204.7797229160159"	"-197.64623371102758"	"-210.89395112701837"	"-197.56917235055352"	"-225.27010737971787"	"-208.9168765943305"
"24"	"-114"	"-202.30419057638628"	"-194.43265257137523"	"-205.65170536855172"	"-199.60074191384194"	"-230.77629735675288"	"-221.4696269079942"
"25"	"-113"	"-200.7015256953255"	"-188.11378407416237"	"-210.26267983805494"	"-192.73752499625598"	"-230.3907933000836"	"-220.0636632922653"
"26"	"-112"	"-200.10075107048687"	"-190.3544450946951"	"-203.25271538266983"	"-189.12857708236987"	"-226.84501567090362"	"-215.86641871211242"
"27"	"-111"	"-200.51292752227232"	"-187.90853099855812"	"-206.1783983071305"	"-187.22852190916296"	"-229.29789235289834"	"-216.42270679525106"
"28"	"-110"	"-198.97432828587935"	"-190.02802651133376"	"-214.81314150869179"	"-188.12413687770928"	"-225.5874613217007"	"-214.8064999308307"
"29"	"-109"	"-200.89153792104324"	"-193.60728391196045"	"-208.34122465344294"	"-190.29786382030616"	"-230.2333987064018"	"-211.52151002467488"
"30"	"-108"	"-198.34885370677026"	"-192.23593865099699"	"-213.9939022394312"	"-188.39814929324683"	"-230.103344354139"	"-216.11977794342113"
"31"	"-107"	"-199.35543967050538"	"-192.55373830906592"	"-203.66361762874772"	"-187.88419583600947"	"-231.32047590551457"	"-216.43486278258638"
"32"	"-106"	"-195.4219079166818"	"-190.59699141940885"	"-206.4191597657645"	"-186.92958306022524"	"-229.29096245526438"	"-218.75077524716727"
"33"	"-105"	"-198.6451741000224"	"-194.80276813489922"	"-208.47632011181227"	"-190.6508644959444"	"-226.98679025388213"	"-221.64483994855044"
"34"	"-104"	"-193.74582665520217"	"-194.11542793511308"	"-203.10274917544166"	"-189.88977898910463"	"-229.60332705009884"	"-218.74878115856885"
"35"	"-103"	"-197.6741499807346"	"-186.99759389605418"	"-212.71914347407156"	"-192.36317688433144"	"-230.61657668446367"	"-219.39499213335026"
"36"	"-102"	"-197.33184857296308"	"-183.9422930876176"	"-211.93996172579895"	"-185.23359786042673"	"-229.18442401546474"	"-217.7531218218559"
"37"	"-101"	"-198.32802468776592"	"-188.68730749680017"	"-207.26655602552918"	"-189.1633616947233"	"-225.50573929936624"	"-211.98724733067667"
"38"	"-100"	"-197.39365165913222"	"-188.32430934593708"	"-200.52090769714664"	"-189.82755466563535"	"-228.11378545903526"	"-215.90498326175265"
"39"	"-99"	"-199.59767239775496"	"-191.0848354077513"	"-213.27762202389266"	"-188.6435716310849"	"-228.66261736504288"	"-217.82887120672044"
"40"	"-98"	"-200.23438338831116"	"-190.8830797369049"	"-203.5769498363157"	"-184.25998206054564"	"-226.7323541592244"	"-218.7767940209858"
"41"	"-97"	"-200.90904669637393"	"-198.9841983758399"	"-212.13617665093977"	"-193.4811631401898"	"-231.13132621730801"	"-221.62303081784424"
"42"	"-96"	"-198.0916647423265"	"-187.23282812813042"	"-203.869945124719"	"-184.93301322037345"	"-228.3716941453337"	"-218.68692156985006"
"43"	"-95"	"-190.13975379010023"	"-190.51627307865465"	"-212.92224834350915"	"-188.40751956484755"	"-223.82765185249502"	"-212.62036316012566"
"44"	"-94"	"-193.56258862192593"	"-186.46803019457647"	"-195.9011609080435"	"-180.22702471548405"	"-231.7200149057903"	"-219.23960922829136"
"45"	"-93"	"-196.51080008354558"	"-191.69321836712075"	"-215.33999237108154"	"-191.9939013564988"	"-231.18186979456348"	"-215.79452512490388"
"46"	"-92"	"-201.30492889489295"	"-193.07586805075167"	"-206.70123636099225"	"-193.40660153180835"	"-220.85902456863502"	"-215.2679084398061"
"47"	"-91"	"-201.61936233813879"	"-193.0619865474615"	"-213.4061238502618"	"-189.54004606007783"	"-229.817405468101"	"-219.80851656947434"
"48"	"-90"	"-203.6243419695239"	"-192.63816627025915"	"-212.62064602941135"	"-191.14081057074856"	"-232.0"	"-220.98268168672934"
"49"	"-89"	"-204.06739883096554"	"-198.65947553264127"	"-217.39012384876276"	"-197.1615808660289"	"-227.76865847629927"	"-221.5072893836103"
"50"	"-88"	"-200.9954156930868"	"-192.27183484526074"	"-213.68020115711906"	"-190.86746285544643"	"-227.73675997608876"	"-216.7591659032533"
"51"	"-87"	"-202.3484709397032"	"-186.79483682834507"	"-208.66149108547776"	"-189.80972637218485"	"-227.28460606214696"	"-220.62328968304465"
"52"	"-86"	"-198.68556219222322"	"-187.29325875890373"	"-206.40752809952713"	"-189.64055150599705"	"-227.29222670239668"	"-219.14010006955235"
"53"	"-85"	"-199.35549243832577"	"-192.95668717530202"	"-216.84677014738895"	"-190.6587431401459"	"-230.90564580346296"	"-216.80914077661987"
"54"	"-84"	"-202.07683121524275"	"-196.47557810492734"	"-219.36497494832432"	"-191.2144989090206"	"-224.379941020227"	"-214.9829018266126"
"55"	"-83"	"-203.45346335494392"	"-193.5181456768687"	"-214.7136503146963"	"-191.77583756532124"	"-229.13334306780686"	"-218.10556497478396"
"56"	"-82"	"-203.96014424809687"	"-198.7137402018958"	"-216.19882102563"	"-190.6008131950779"	"-226.11556966823778"	"-220.23251348086816"
"57"	"-81"	"-205.27162019321787"	"-192.0943411751553"	"-212.79787766562282"	"-191.7917556270384"	"-231.5622464860442"	"-222.25505045363357"
"58"	"-80"	"-204.10296129236986"	"-192.47925268762572"	"-213.2268773784602"	"-194.99220901252534"	"-226.94728239452584"	"-215.29420594619205"
