"diagsum_position"	"reference_align_site"	"nodeid=0"	"nodeid=195"	"nodeid=394"	"nodeid=591"	"nodeid=789"	"nodeid=994"
"0"	"-132"	"-223.7245099708036"	"-212.48161698869353"	"-231.88608151531884"	"-207.16613081530622"	"-240.0"	"-223.2915687499301"
"1"	"-131"	"-221.0488150765913"	"-214.78979349278575"	"-231.56613757280655"	"-210.2656746800401"	"-235.78213845373466"	"-224.32875331873015"
"2"	"-130"	"-229.06401873215634"	"-217.8245957509933"	"-224.4937636543075"	"-212.87799271385342"	"-240.0"	"-234.99501570478063"
"3"	"-129"	"-213.81464227338384"	"-216.0471762675113"	"-229.84404366531174"	"-206.46947817529846"	"-235.50826889845243"	"-228.7440060483813"
"4"	"-128"	"-217.41964288033228"	"-207.91781121946994"	"-221.45586718317875"	"-204.57736301209258"	"-232.19621818608516"	"-225.47390850230406"
"5"	"-127"	"-215.68402188081987"	"-204.66596864250778"	"-223.88564913425503"	"-205.37269820418823"	"-239.99999999999997"	"-226.87442225671515"
"6"	"-126"	"-219.72798712503894"	"-204.86489011827612"	"-222.84694787856918"	"-203.69470673072848"	"-238.2799227278704"	"-229.57175030154795"
"7"	"-125"	"-216.89974151010546"	"-203.471446088097"	"-213.70959458831888"	"-200.6056871019573"	"-239.99999999999997"	"-228.08363465557414"
"8"	"-124"	"-213.80169639161778"	"-205.85230475422773"	"-227.47523524721623"	"-204.6580728442929"	"-235.9182147771458"	"-224.8030512718717"
"9"	"-123"	"-221.80943562689592"	"-210.41567878785017"	"-225.28895010213463"	"-203.4977748792244"	"-228.71881278810665"	"-231.5539569664046"
"10"	"-122"	"-218.74890096431793"	"-212.89294294546033"	"-223.99179088217898"	"-208.14841894763774"	"-237.2942600671135"	"-234.06619010230418"
"11"	"-121"	"-216.7673153083148"	"-213.17679498656457"	"-227.63607033357587"	"-199.40301659730576"	"-233.21511809436734"	"-232.4484631574592"
"12"	"-120"	"-204.0155538596419"	"-198.48032706055292"	"-215.09625625240187"	"-195.3901681071689"	"-229.1216529508398"	"-228.05438302871485"
"13"	"-119"	"-212.8891750025536"	"-199.79767553823106"	"-223.42691226929873"	"-196.84948387861206"	"-239.15569538967796"	"-231.18526757297258"
"14"	"-118"	"-212.2361165632403"	"-204.6433149627409"	"-218.58927848430903"	"-199.12963754946406"	"-237.43932387551115"	"-227.59625688137018"
"15"	"-117"	"-212.25478701066373"	"-201.95482130248416"	"-217.27378750311752"	"-202.04173334297596"	"-237.57001613447886"	"-229.77077484199833"
"16"	"-116"	"-202.2889181678425"	"-199.6199812119966"	"-228.4220228261983"	"-188.4289523775751"	"-232.2583459193933"	"-219.32943499161408"
"17"	"-115"	"-215.57424427940896"	"-205.32652393469166"	"-213.58755341449327"	"-205.9879853178614"	"-229.28458992101378"	"-226.29353327884766"
"18"	"-114"	"-201.68786709300878"	"-207.88824889708053"	"-214.60256324299533"	"-204.89155428000208"	"-236.84278581647857"	"-227.64062335608907"
"19"	"-113"	"-210.18855320326517"	"-208.6225999272656"	"-225.67765036000475"	"-200.3868283854265"	"-234.9795922857244"	"-226.98011791019434"
"20"	"-112"	"-200.1174475863275"	"-193.20504412164695"	"-210.40442445170828"	"-193.8848078185219"	"-234.1321133171311"	"-218.5093330073292"
"21"	"-111"	"-207.51914128572093"	"-197.82472547800265"	"-218.1969808733513"	"-196.37578151686915"	"-228.00108124031118"	"-217.38697568435137"
"22"	"-110"	"-206.14201667333688"	"-194.35311506242468"	"-224.31824457774525"	"-194.5660112033488"	"-233.69262203598683"	"-220.9032956960603"
"23"	"-109"	"-203.96059815680948"	"-193.7080384776343"	"-203.26358425629988"	"-193.29754210476474"	"-237.30542533743238"	"-220.2385378477196"
"24"	"-108"	"-199.79859147448516"	"-200.72258227820876"	"-220.57948146214008"	"-202.544984729619"	"-235.27424131475777"	"-224.43210727677743"
"25"	"-107"	"-210.6338919323815"	"-198.58642897184893"	"-207.8052820722187"	"-199.41633099062213"	"-237.7058777925443"	"-228.15464072133295"
"26"	"-106"	"-207.8303787681397"	"-199.84800939862546"	"-224.44412015129944"	"-197.75968061420102"	"-238.45018924355048"	"-226.26453688251186"
