"diasum_pos"	"reference_align_site"	"ratio_node"
"0"	"-132"	"0.0"
"1"	"-131"	"0.0"
"2"	"-130"	"0.0"
"3"	"-129"	"0.0"
"4"	"-128"	"0.0"
"5"	"-127"	"0.0"
"6"	"-126"	"0.0"
"7"	"-125"	"0.0"
"8"	"-124"	"0.0"
"9"	"-123"	"0.0"
"10"	"-122"	"0.0"
"11"	"-121"	"0.0"
"12"	"-120"	"0.0"
"13"	"-119"	"0.0"
"14"	"-118"	"0.0"
"15"	"-117"	"0.0"
"16"	"-116"	"0.0"
"17"	"-115"	"0.0"
"18"	"-114"	"0.0"
"19"	"-113"	"0.0"
"20"	"-112"	"0.0"
"21"	"-111"	"0.0"
"22"	"-110"	"0.0"
"23"	"-109"	"0.0"
"24"	"-108"	"0.0"
"25"	"-107"	"0.0"
"26"	"-106"	"0.0"
"27"	"-105"	"0.0"
"28"	"-104"	"0.0"
"29"	"-103"	"0.0"
"30"	"-102"	"0.0"
"31"	"-101"	"0.0"
"32"	"-100"	"0.0"
"33"	"-99"	"0.0"
"34"	"-98"	"0.0"
"35"	"-97"	"0.0"
"36"	"-96"	"0.0"
"37"	"-95"	"0.0"
"38"	"-94"	"0.0"
"39"	"-93"	"0.0"
"40"	"-92"	"0.0"
"41"	"-91"	"0.0"
"42"	"-90"	"0.0"
"43"	"-89"	"0.0"
"44"	"-88"	"0.0"
"45"	"-87"	"0.0"
"46"	"-86"	"0.0"
"47"	"-85"	"0.0"
"48"	"-84"	"0.0"
"49"	"-83"	"0.0"
"50"	"-82"	"0.0"
"51"	"-81"	"0.0"
"52"	"-80"	"0.0"
"53"	"-79"	"0.0"
"54"	"-78"	"0.0"
"55"	"-77"	"0.0"
"56"	"-76"	"0.0"
"57"	"-75"	"0.0"
"58"	"-74"	"0.0"
"59"	"-73"	"0.0"
"60"	"-72"	"0.0"
"61"	"-71"	"0.0"
"62"	"-70"	"0.0"
"63"	"-69"	"0.0"
"64"	"-68"	"0.0"
"65"	"-67"	"0.0"
"66"	"-66"	"0.0"
"67"	"-65"	"0.0"
"68"	"-64"	"0.0"
"69"	"-63"	"0.0"
"70"	"-62"	"0.0"
"71"	"-61"	"0.0"
