"diagsum_position"	"reference_align_site"	"nodeid=0"	"nodeid=195"	"nodeid=394"	"nodeid=591"	"nodeid=789"	"nodeid=994"
"0"	"-161"	"-246.4709585195105"	"-240.5356062046364"	"-246.96935789348834"	"-232.99284272226222"	"-256.0"	"-249.77973632811415"
"1"	"-160"	"-239.57901427727143"	"-233.75159478161834"	"-244.71809054986386"	"-226.66155430513908"	"-250.04280152995466"	"-239.87636641520388"
"2"	"-159"	"-240.23191309685572"	"-223.9680144130279"	"-238.44701127703178"	"-225.2664362288214"	"-256.0"	"-242.69528138657967"
"3"	"-158"	"-230.18052447070994"	"-225.24758854550902"	"-243.5081837021063"	"-211.01444765786155"	"-248.46423015110986"	"-237.86004779697384"
"4"	"-157"	"-241.95532696530313"	"-225.6291833527244"	"-246.89428931528522"	"-217.7182962024799"	"-250.57539915512976"	"-241.5130900768918"
"5"	"-156"	"-237.84683519232775"	"-212.62541205495575"	"-239.79571506594235"	"-218.03037505555102"	"-256.0"	"-243.24086109008744"
"6"	"-155"	"-246.34210125466421"	"-229.55350591315803"	"-247.53916336985517"	"-225.75173046292275"	"-254.2754159286417"	"-247.85686156581954"
"7"	"-154"	"-242.9489685004178"	"-220.99329951141527"	"-244.01127841655972"	"-220.09710409308155"	"-256.0"	"-250.45659948012522"
"8"	"-153"	"-237.19792638412184"	"-225.58960299612312"	"-241.58901220001263"	"-228.80835537553264"	"-251.93736642105006"	"-247.39898231774706"
"9"	"-152"	"-232.6217741234433"	"-220.90364604152936"	"-229.712803864325"	"-216.79043166498357"	"-246.60575135415132"	"-241.26839649967943"
"10"	"-151"	"-229.52380688819974"	"-219.88914551103133"	"-237.78298431647707"	"-219.43561680098043"	"-251.8768243175713"	"-243.08479037846283"
"11"	"-150"	"-233.6457218895655"	"-224.3707788443317"	"-239.09494456214603"	"-212.7035661202081"	"-248.34716836321306"	"-242.23338965848455"
"12"	"-149"	"-231.56005365651828"	"-215.0735677203692"	"-234.45048231803312"	"-211.91887258087664"	"-254.57265227142508"	"-238.20143826718206"
"13"	"-148"	"-229.81309947110955"	"-221.2945393843301"	"-236.96789481049734"	"-211.4165579633442"	"-251.0769230769231"	"-240.54150568755995"
"14"	"-147"	"-233.6907665094394"	"-223.02157303410377"	"-237.63149078207346"	"-217.0403930608105"	"-251.85555476695706"	"-248.15530447001393"
"15"	"-146"	"-231.8440116108291"	"-222.56931787261053"	"-236.7229249908445"	"-220.937116626794"	"-256.0"	"-248.6128458474824"
"16"	"-145"	"-219.12866435897294"	"-214.08203451659574"	"-241.12904746048895"	"-201.63014648280247"	"-240.93430205791134"	"-236.3188502551759"
"17"	"-144"	"-223.66689498640542"	"-220.95325691943572"	"-229.26889460819046"	"-215.1483123613955"	"-245.18241418150984"	"-243.0157018268138"
"18"	"-143"	"-222.22121721586683"	"-213.27619959875665"	"-237.24114351527726"	"-222.09752666184332"	"-247.5278362761284"	"-242.84015592270345"
"19"	"-142"	"-225.5473217369497"	"-217.96841958173349"	"-241.93096976101316"	"-212.54157693158407"	"-252.49045827484878"	"-243.3232374642895"
