"diasum_pos"	"reference_align_site"	"ratio_node"
"0"	"-138"	"0.0"
"1"	"-137"	"0.0"
"2"	"-136"	"0.0"
"3"	"-135"	"0.0"
"4"	"-134"	"0.0"
"5"	"-133"	"0.0"
"6"	"-132"	"0.0"
"7"	"-131"	"0.0"
"8"	"-130"	"0.0"
"9"	"-129"	"0.0"
"10"	"-128"	"0.0"
"11"	"-127"	"0.0"
"12"	"-126"	"0.0"
"13"	"-125"	"0.0"
"14"	"-124"	"0.0"
"15"	"-123"	"0.0"
"16"	"-122"	"0.0"
"17"	"-121"	"0.0"
"18"	"-120"	"0.0"
"19"	"-119"	"0.0"
"20"	"-118"	"0.0"
"21"	"-117"	"0.0"
"22"	"-116"	"0.0"
"23"	"-115"	"0.0"
"24"	"-114"	"0.0"
"25"	"-113"	"0.0"
"26"	"-112"	"0.0"
"27"	"-111"	"0.0"
"28"	"-110"	"0.0"
"29"	"-109"	"0.0"
"30"	"-108"	"0.0"
"31"	"-107"	"0.0"
"32"	"-106"	"0.0"
"33"	"-105"	"0.0"
"34"	"-104"	"0.0"
"35"	"-103"	"0.0"
"36"	"-102"	"0.0"
"37"	"-101"	"0.0"
"38"	"-100"	"0.0"
"39"	"-99"	"0.0"
"40"	"-98"	"0.0"
"41"	"-97"	"0.0"
"42"	"-96"	"0.0"
"43"	"-95"	"0.0"
"44"	"-94"	"0.0"
"45"	"-93"	"0.0"
"46"	"-92"	"0.0"
"47"	"-91"	"0.0"
"48"	"-90"	"0.0"
"49"	"-89"	"0.0"
"50"	"-88"	"0.0"
"51"	"-87"	"0.0"
"52"	"-86"	"0.0"
"53"	"-85"	"0.0"
"54"	"-84"	"0.0"
"55"	"-83"	"0.0"
"56"	"-82"	"0.0"
"57"	"-81"	"0.0"
"58"	"-80"	"0.0"
"59"	"-79"	"0.0"
"60"	"-78"	"0.0"
"61"	"-77"	"0.0"
"62"	"-76"	"0.0"
"63"	"-75"	"0.0"
"64"	"-74"	"0.0"
"65"	"-73"	"0.0"
"66"	"-72"	"0.0"
"67"	"-71"	"0.0"
"68"	"-70"	"0.0"
"69"	"-69"	"0.0"
"70"	"-68"	"0.0"
"71"	"-67"	"0.0"
"72"	"-66"	"0.0"
"73"	"-65"	"0.0"
"74"	"-64"	"0.0"
"75"	"-63"	"0.0"
"76"	"-62"	"0.0"
"77"	"-61"	"0.0"
"78"	"-60"	"0.0"
"79"	"-59"	"0.0"
"80"	"-58"	"0.0"
"81"	"-57"	"0.0"
"82"	"-56"	"0.0"
"83"	"-55"	"0.0"
"84"	"-54"	"0.0"
"85"	"-53"	"0.0"
"86"	"-52"	"0.0"
"87"	"-51"	"0.0"
"88"	"-50"	"0.0"
"89"	"-49"	"0.0"
"90"	"-48"	"0.0"
"91"	"-47"	"0.0"
"92"	"-46"	"0.0"
"93"	"-45"	"0.0"
"94"	"-44"	"0.0"
"95"	"-43"	"0.0"
"96"	"-42"	"0.0"
"97"	"-41"	"0.0"
"98"	"-40"	"0.0"
"99"	"-39"	"0.0"
"100"	"-38"	"0.0"
"101"	"-37"	"0.0"
"102"	"-36"	"0.0"
"103"	"-35"	"0.0"
"104"	"-34"	"0.0"
"105"	"-33"	"0.0"
"106"	"-32"	"0.0"
"107"	"-31"	"0.0"
"108"	"-30"	"0.0"
"109"	"-29"	"0.0"
"110"	"-28"	"0.0"
"111"	"-27"	"0.0"
"112"	"-26"	"0.0"
"113"	"-25"	"0.0"
"114"	"-24"	"0.0"
"115"	"-23"	"0.0"
"116"	"-22"	"0.0"
"117"	"-21"	"0.0"
"118"	"-20"	"0.0"
"119"	"-19"	"0.0"
"120"	"-18"	"0.0"
"121"	"-17"	"0.0"
"122"	"-16"	"0.0"
"123"	"-15"	"0.0"
"124"	"-14"	"0.0"
"125"	"-13"	"0.0"
"126"	"-12"	"0.0"
"127"	"-11"	"0.0"
"128"	"-10"	"0.0"
"129"	"-9"	"0.0"
"130"	"-8"	"0.0"
"131"	"-7"	"0.0"
"132"	"-6"	"0.0"
"133"	"-5"	"0.0"
"134"	"-4"	"0.0"
"135"	"-3"	"0.0"
"136"	"-2"	"0.0"
"137"	"-1"	"0.0"
"138"	"0"	"0.0"
"139"	"1"	"0.0"
"140"	"2"	"0.0"
"141"	"3"	"0.0"
"142"	"4"	"0.0"
"143"	"5"	"0.0"
"144"	"6"	"0.0"
"145"	"7"	"0.0"
"146"	"8"	"0.0"
"147"	"9"	"0.0"
"148"	"10"	"0.0"
"149"	"11"	"0.0"
"150"	"12"	"0.0"
"151"	"13"	"0.0"
"152"	"14"	"0.0"
"153"	"15"	"0.0"
"154"	"16"	"0.0"
"155"	"17"	"0.0"
"156"	"18"	"0.0"
"157"	"19"	"0.0"
"158"	"20"	"0.0"
"159"	"21"	"0.0"
"160"	"22"	"0.0"
"161"	"23"	"0.0"
"162"	"24"	"0.0"
"163"	"25"	"0.0"
"164"	"26"	"0.0"
"165"	"27"	"0.0"
"166"	"28"	"0.0"
"167"	"29"	"0.0"
"168"	"30"	"0.0"
"169"	"31"	"0.0"
"170"	"32"	"0.0"
"171"	"33"	"0.0"
"172"	"34"	"0.0"
"173"	"35"	"0.0"
"174"	"36"	"0.0"
"175"	"37"	"0.0"
"176"	"38"	"0.0"
"177"	"39"	"0.0"
"178"	"40"	"0.0"
"179"	"41"	"0.0"
"180"	"42"	"0.0"
"181"	"43"	"0.0"
"182"	"44"	"0.0"
"183"	"45"	"0.0"
"184"	"46"	"0.0"
"185"	"47"	"0.0"
"186"	"48"	"0.0"
"187"	"49"	"0.0"
"188"	"50"	"0.0"
"189"	"51"	"0.0"
"190"	"52"	"0.0"
