"diasum_pos"	"reference_align_site"	"ratio_node"
"0"	"-161"	"0.0"
"1"	"-160"	"0.0"
"2"	"-159"	"0.0"
"3"	"-158"	"0.0"
"4"	"-157"	"0.0"
"5"	"-156"	"0.0"
"6"	"-155"	"0.0"
"7"	"-154"	"0.0"
"8"	"-153"	"0.0"
"9"	"-152"	"0.0"
"10"	"-151"	"0.0"
"11"	"-150"	"0.0"
"12"	"-149"	"0.0"
"13"	"-148"	"0.0"
"14"	"-147"	"0.0"
"15"	"-146"	"0.0"
"16"	"-145"	"0.0"
"17"	"-144"	"0.0"
"18"	"-143"	"0.0"
"19"	"-142"	"0.0"
"20"	"-141"	"0.0"
"21"	"-140"	"0.0"
"22"	"-139"	"0.0"
"23"	"-138"	"0.0"
"24"	"-137"	"0.0"
"25"	"-136"	"0.0"
"26"	"-135"	"0.0"
"27"	"-134"	"0.0"
"28"	"-133"	"0.0"
"29"	"-132"	"0.0"
"30"	"-131"	"0.0"
"31"	"-130"	"0.0"
"32"	"-129"	"0.0"
"33"	"-128"	"0.0"
"34"	"-127"	"0.0"
"35"	"-126"	"0.0"
"36"	"-125"	"0.0"
"37"	"-124"	"0.0"
"38"	"-123"	"0.0"
"39"	"-122"	"0.0"
"40"	"-121"	"0.0"
"41"	"-120"	"0.0"
"42"	"-119"	"0.0"
"43"	"-118"	"0.0"
"44"	"-117"	"0.0"
"45"	"-116"	"0.0"
"46"	"-115"	"0.0"
"47"	"-114"	"0.0"
"48"	"-113"	"0.0"
"49"	"-112"	"0.0"
"50"	"-111"	"0.0"
"51"	"-110"	"0.0"
"52"	"-109"	"0.0"
"53"	"-108"	"0.0"
"54"	"-107"	"0.0"
"55"	"-106"	"0.0"
"56"	"-105"	"0.0"
"57"	"-104"	"0.0"
"58"	"-103"	"0.0"
"59"	"-102"	"0.0"
"60"	"-101"	"0.0"
"61"	"-100"	"0.0"
"62"	"-99"	"0.0"
"63"	"-98"	"0.0"
"64"	"-97"	"0.0"
"65"	"-96"	"0.0"
"66"	"-95"	"0.0"
"67"	"-94"	"0.0"
"68"	"-93"	"0.0"
"69"	"-92"	"0.0"
"70"	"-91"	"0.0"
"71"	"-90"	"0.0"
"72"	"-89"	"0.0"
"73"	"-88"	"0.0"
"74"	"-87"	"0.0"
"75"	"-86"	"0.0"
"76"	"-85"	"0.0"
"77"	"-84"	"0.0"
"78"	"-83"	"0.0"
"79"	"-82"	"0.0"
"80"	"-81"	"0.0"
"81"	"-80"	"0.0"
"82"	"-79"	"0.0"
"83"	"-78"	"0.0"
"84"	"-77"	"0.0"
"85"	"-76"	"0.0"
"86"	"-75"	"0.0"
"87"	"-74"	"0.0"
"88"	"-73"	"0.0"
"89"	"-72"	"0.0"
"90"	"-71"	"0.0"
"91"	"-70"	"0.0"
"92"	"-69"	"0.0"
"93"	"-68"	"0.0"
"94"	"-67"	"0.0"
"95"	"-66"	"0.0"
"96"	"-65"	"0.0"
"97"	"-64"	"0.0"
"98"	"-63"	"0.0"
"99"	"-62"	"0.0"
"100"	"-61"	"0.0"
"101"	"-60"	"0.0"
"102"	"-59"	"0.0"
"103"	"-58"	"0.0"
"104"	"-57"	"0.0"
"105"	"-56"	"0.0"
"106"	"-55"	"0.0"
"107"	"-54"	"0.0"
"108"	"-53"	"0.0"
"109"	"-52"	"0.0"
"110"	"-51"	"0.0"
"111"	"-50"	"0.0"
"112"	"-49"	"0.0"
"113"	"-48"	"0.0"
"114"	"-47"	"0.0"
"115"	"-46"	"0.0"
"116"	"-45"	"0.0"
"117"	"-44"	"0.0"
"118"	"-43"	"0.0"
"119"	"-42"	"0.0"
"120"	"-41"	"0.0"
"121"	"-40"	"0.0"
"122"	"-39"	"0.0"
"123"	"-38"	"0.0"
"124"	"-37"	"0.0"
"125"	"-36"	"0.0"
"126"	"-35"	"0.0"
"127"	"-34"	"0.0"
"128"	"-33"	"0.0"
"129"	"-32"	"0.0"
"130"	"-31"	"0.0"
"131"	"-30"	"0.0"
"132"	"-29"	"0.0"
"133"	"-28"	"0.0"
"134"	"-27"	"0.0"
"135"	"-26"	"0.0"
"136"	"-25"	"0.0"
"137"	"-24"	"0.0"
"138"	"-23"	"0.0"
"139"	"-22"	"0.0"
"140"	"-21"	"0.0"
"141"	"-20"	"0.0"
"142"	"-19"	"0.0"
"143"	"-18"	"0.0"
"144"	"-17"	"0.0"
"145"	"-16"	"0.0"
"146"	"-15"	"0.0"
"147"	"-14"	"0.0"
"148"	"-13"	"0.0"
"149"	"-12"	"0.0"
"150"	"-11"	"0.0"
"151"	"-10"	"0.0"
"152"	"-9"	"0.0"
"153"	"-8"	"0.0"
"154"	"-7"	"0.0"
"155"	"-6"	"0.0"
"156"	"-5"	"0.0"
"157"	"-4"	"0.0"
"158"	"-3"	"0.0"
"159"	"-2"	"0.0"
"160"	"-1"	"0.0"
"161"	"0"	"0.0"
"162"	"1"	"0.0"
"163"	"2"	"0.0"
"164"	"3"	"0.0"
"165"	"4"	"0.0"
"166"	"5"	"0.0"
"167"	"6"	"0.0"
"168"	"7"	"0.0"
"169"	"8"	"0.0"
"170"	"9"	"0.0"
"171"	"10"	"0.0"
"172"	"11"	"0.0"
"173"	"12"	"0.0"
"174"	"13"	"0.0"
"175"	"14"	"0.0"
"176"	"15"	"0.0"
"177"	"16"	"0.0"
"178"	"17"	"0.0"
"179"	"18"	"0.0"
"180"	"19"	"0.0"
"181"	"20"	"0.0"
"182"	"21"	"0.0"
"183"	"22"	"0.0"
"184"	"23"	"0.0"
"185"	"24"	"0.0"
"186"	"25"	"0.0"
"187"	"26"	"0.0"
"188"	"27"	"0.0"
"189"	"28"	"0.0"
"190"	"29"	"0.0"
"191"	"30"	"0.0"
"192"	"31"	"0.0"
"193"	"32"	"0.0"
"194"	"33"	"0.0"
"195"	"34"	"0.0"
"196"	"35"	"0.0"
"197"	"36"	"0.0"
"198"	"37"	"0.0"
"199"	"38"	"0.0"
"200"	"39"	"0.0"
"201"	"40"	"0.0"
"202"	"41"	"0.0"
"203"	"42"	"0.0"
"204"	"43"	"0.0"
"205"	"44"	"0.0"
"206"	"45"	"0.0"
"207"	"46"	"0.0"
"208"	"47"	"0.0"
"209"	"48"	"0.0"
"210"	"49"	"0.0"
"211"	"50"	"0.0"
"212"	"51"	"0.0"
"213"	"52"	"0.0"
"214"	"53"	"0.0"
"215"	"54"	"0.0"
"216"	"55"	"0.0"
"217"	"56"	"0.0"
"218"	"57"	"0.0"
"219"	"58"	"0.0"
"220"	"59"	"0.0"
"221"	"60"	"0.0"
"222"	"61"	"0.0"
"223"	"62"	"0.0"
"224"	"63"	"0.0"
"225"	"64"	"0.0"
"226"	"65"	"0.0"
"227"	"66"	"0.0"
"228"	"67"	"0.0"
"229"	"68"	"0.0"
"230"	"69"	"0.0"
"231"	"70"	"0.0"
"232"	"71"	"0.0"
"233"	"72"	"0.0"
"234"	"73"	"0.0"
"235"	"74"	"0.0"
"236"	"75"	"0.0"
"237"	"76"	"0.0"
"238"	"77"	"0.0"
"239"	"78"	"0.0"
"240"	"79"	"0.0"
"241"	"80"	"0.0"
"242"	"81"	"0.0"
"243"	"82"	"0.0"
"244"	"83"	"0.0"
"245"	"84"	"0.0"
"246"	"85"	"0.0"
"247"	"86"	"0.0"
"248"	"87"	"0.0"
"249"	"88"	"0.0"
"250"	"89"	"0.0"
"251"	"90"	"0.0"
"252"	"91"	"0.0"
"253"	"92"	"0.0"
"254"	"93"	"0.0"
"255"	"94"	"0.0"
"256"	"95"	"0.0"
"257"	"96"	"0.0"
"258"	"97"	"0.0"
"259"	"98"	"0.0"
"260"	"99"	"0.0"
"261"	"100"	"0.0"
"262"	"101"	"0.0"
"263"	"102"	"0.0"
"264"	"103"	"0.0"
"265"	"104"	"0.0"
"266"	"105"	"0.0"
"267"	"106"	"0.0"
"268"	"107"	"0.0"
"269"	"108"	"0.0"
"270"	"109"	"0.0"
"271"	"110"	"0.0"
"272"	"111"	"0.0"
"273"	"112"	"0.0"
"274"	"113"	"0.0"
"275"	"114"	"0.0"
"276"	"115"	"0.0"
"277"	"116"	"0.0"
"278"	"117"	"0.0"
"279"	"118"	"0.0"
"280"	"119"	"0.0"
"281"	"120"	"0.0"
"282"	"121"	"0.0"
"283"	"122"	"0.0"
"284"	"123"	"0.0"
"285"	"124"	"0.0"
"286"	"125"	"0.0"
"287"	"126"	"0.0"
"288"	"127"	"0.0"
"289"	"128"	"0.0"
"290"	"129"	"0.0"
"291"	"130"	"0.0"
"292"	"131"	"0.0"
"293"	"132"	"0.0"
"294"	"133"	"0.0"
"295"	"134"	"0.0"
"296"	"135"	"0.0"
"297"	"136"	"0.0"
"298"	"137"	"0.0"
"299"	"138"	"0.0"
"300"	"139"	"0.0"
"301"	"140"	"0.0"
"302"	"141"	"0.0"
"303"	"142"	"0.0"
"304"	"143"	"0.0"
"305"	"144"	"0.0"
"306"	"145"	"0.0"
"307"	"146"	"0.0"
"308"	"147"	"0.0"
"309"	"148"	"0.0"
"310"	"149"	"0.0"
"311"	"150"	"0.0"
"312"	"151"	"0.0"
"313"	"152"	"0.0"
"314"	"153"	"0.0"
"315"	"154"	"0.0"
"316"	"155"	"0.0"
"317"	"156"	"0.0"
"318"	"157"	"0.0"
"319"	"158"	"0.0"
"320"	"159"	"0.0"
"321"	"160"	"0.0"
"322"	"161"	"0.0"
"323"	"162"	"0.0"
"324"	"163"	"0.0"
"325"	"164"	"0.0"
"326"	"165"	"0.0"
"327"	"166"	"0.0"
"328"	"167"	"0.0"
"329"	"168"	"0.0"
"330"	"169"	"0.0"
"331"	"170"	"0.0"
"332"	"171"	"0.0"
"333"	"172"	"0.0"
"334"	"173"	"0.0"
"335"	"174"	"0.0"
"336"	"175"	"0.0"
"337"	"176"	"0.0"
"338"	"177"	"0.0"
"339"	"178"	"0.0"
"340"	"179"	"0.0"
"341"	"180"	"0.0"
"342"	"181"	"0.0"
"343"	"182"	"0.0"
"344"	"183"	"0.0"
"345"	"184"	"0.0"
"346"	"185"	"0.0"
