"diagsum_position"	"reference_align_site"	"nodeid=0"	"nodeid=195"	"nodeid=394"	"nodeid=591"	"nodeid=789"	"nodeid=994"
"0"	"-142"	"-225.25289608190695"	"-214.77960652822424"	"-224.3761495843211"	"-208.53143657290207"	"-240.0"	"-227.47657042407553"
"1"	"-141"	"-220.27710767822686"	"-215.13546929461344"	"-232.44116679817824"	"-211.09969037379255"	"-238.28505958259848"	"-227.89123011715992"
"2"	"-140"	"-222.14329150706027"	"-208.47135932890566"	"-228.81633434250733"	"-204.09545940571704"	"-240.0"	"-227.50075895483474"
"3"	"-139"	"-219.75586760738534"	"-204.90891552474017"	"-227.66958201268068"	"-201.28321790759674"	"-228.17330902931332"	"-216.537898880662"
"4"	"-138"	"-230.22782040552343"	"-208.46344959313595"	"-227.54022718109596"	"-206.5292487986265"	"-240.0"	"-234.1339435857638"
"5"	"-137"	"-213.15954754197463"	"-200.44406685526968"	"-216.7355930509646"	"-203.1962473137586"	"-238.0422555303251"	"-224.39500129610076"
"6"	"-136"	"-218.34923289671036"	"-202.1957931241654"	"-220.88434016015358"	"-202.6872830768559"	"-236.44436735866256"	"-226.83996391767732"
"7"	"-135"	"-217.81438087001845"	"-204.8737108807868"	"-221.22493064271865"	"-202.806466887181"	"-239.99999999999997"	"-228.41597338270842"
"8"	"-134"	"-216.62374810458988"	"-204.2751447109009"	"-220.99295211086434"	"-204.75120580321433"	"-234.10311076835882"	"-225.04545798146134"
"9"	"-133"	"-219.52420742377137"	"-209.13291920978142"	"-213.73096508399738"	"-204.92756059597704"	"-238.70605577116672"	"-229.18380442840436"
"10"	"-132"	"-208.2273834661622"	"-209.47764077550087"	"-225.55314948261872"	"-209.89856902616336"	"-239.99999999999997"	"-232.02832718168003"
"11"	"-131"	"-218.91538034226986"	"-209.05347502191017"	"-226.1851691582618"	"-203.34449203908048"	"-233.43524620027335"	"-225.60427427122502"
"12"	"-130"	"-203.6033675310708"	"-206.46492075532865"	"-214.79143481259666"	"-195.88892608997637"	"-239.99999999999997"	"-232.7711156795124"
"13"	"-129"	"-212.5015904892486"	"-207.45661726443498"	"-224.2313644874054"	"-200.86065106655997"	"-239.99999999999997"	"-231.63126522916014"
